trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.95}",20,0,-141.33194509475723,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.8999999999999999}",20,2,-47.85139414399354,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
3,False,"{'a': 0.8, 'e': 0.8499999999999999}",20,0,-89.56624335365149,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.7999999999999998}",25,0,-129.40124253153127,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.8, 'e': 0.7499999999999998}",20,0,-115.20205897899334,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.6999999999999997}",25,0,-52.12570609658119,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.8, 'e': 0.6499999999999997}",20,8,-7.712046944302586,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.5999999999999996}",20,12,-3.665904077363726,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.5499999999999996}",20,0,-35.13899107933668,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.4999999999999996}",20,0,-110.75606240734737,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 3}",0
11,False,"{'a': 0.8, 'e': 0.4499999999999996}",20,0,-86.26601769032402,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.39999999999999963}",20,0,-41.186312832117416,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.34999999999999964}",30,20,16.094953243920752,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.29999999999999966}",20,0,-43.31122568646592,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
15,False,"{'a': 0.8, 'e': 0.24999999999999967}",25,14,-37.01997275545929,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.8, 'e': 0.19999999999999968}",20,0,-58.67727157572068,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.8, 'e': 0.1499999999999997}",25,0,-17.807721432129007,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.09999999999999969}",20,13,12.57288286903996,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.049999999999999684}",20,8,-42.6703067087791,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.8, 'e': -3.191891195797325e-16}",25,18,12.852892816043722,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,34.34102200088115,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,5,31.00463980991767,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,5.539804342334984,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,18.922523044444688,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,25.751359896637982,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,19,-15.031383103481714,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,8.06339534291849,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,10,27.455583170126513,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,9.49025309450813,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,-34.33810760284368,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
11,True,"{'a': 0, 'e': 0}",20,0,-33.2886631746198,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",25,16,12.590280794072184,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,15,19.82469084253829,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,12,2.204574683550916,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,8,16.412936485626187,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,2,23.60382196103408,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,8,-32.836997336994465,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
