trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9}",25,14,-33.881699820518726,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.8, 'e': 0.81}",20,0,-38.399028303497104,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.7290000000000001}",20,0,-114.22538483256665,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.6561000000000001}",20,10,-71.92485394494847,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.8, 'e': 0.5904900000000002}",20,0,-35.91681467030444,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.5314410000000002}",25,19,-30.53474036572423,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.8, 'e': 0.47829690000000014}",25,9,-62.02094833144665,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.43046721000000016}",20,0,-2.283360387297221,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.8, 'e': 0.38742048900000015}",25,0,-96.60669638222191,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.34867844010000015}",20,0,-115.20199937270587,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.31381059609000017}",20,6,-82.79504936206123,"{0: 10, 1: 0, 2: 0, 3: 3, 4: 1}",1
12,False,"{'a': 0.8, 'e': 0.28242953648100017}",25,0,-66.51953343084443,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.25418658283290013}",20,4,-15.860987666383062,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
14,False,"{'a': 0.8, 'e': 0.22876792454961012}",25,8,-55.39952698516467,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
