trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.9892206000557,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.12844017582978,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-144.907479380632,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-252.22777413192304,"{0: 18, 1: 6, 2: 6, 3: 1, 4: 4}",1
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.86794269684876,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.43113451955756,"{0: 8, 1: 6, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.9720306268618,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.88876907488539,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.96679048726924,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.37437509124014,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,3,-165.7788944805132,"{0: 6, 1: 2, 2: 6, 3: 1, 4: 2}",1
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-254.231645699584,"{0: 17, 1: 6, 2: 7, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.40716595633796,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.18260004942628,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-28.854104716842492,"{0: 17, 1: 6, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.59338588292299,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,3,-71.47775107946211,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.32739640966926,"{0: 11, 1: 6, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-86.13591723831831,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.06406754112096,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-184.09295765906174,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.60869859270835,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.94354760278638,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-173.13628499662184,"{0: 8, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.87559422461227,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-88.75653904762356,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-114.29885339437327,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.13065280099892,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.13997317153976,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,13,-19.03169968840429,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
